k,dH_median,dH_p75,dH_p90,n_pairs,std_median,std_max,iqr_median,iqr_max,band_45_55_median,band_45_55_max,companies_median,trend_pct,trend_n_companies,trend_n_detected,bias_ratio_others_over_subset,reactivity_months
0.0,2.719128919315388,8.099756250915725,17.72260773320115,1930,29.19467766009852,38.620432626197626,42.323409848644715,76.48057913696297,33.0,50,147.5,33.333333333333336,102,34,17.048472783199237,5.0
0.29999999999999993,2.7191238296820934,8.099756250915725,17.722603214279726,1930,29.192914742252256,38.620432626197626,42.32341679333346,76.48057913696297,33.0,50,147.5,33.333333333333336,102,34,17.048472783199237,5.0
0.7789518592020556,2.719115704275616,8.099756250915725,17.72259599980123,1930,29.189387440229527,38.62043262619763,42.32342788054412,76.48057913696297,33.0,50,147.5,33.333333333333336,102,34,17.048472783199237,5.0
2.022553329847797,2.7231601360835676,8.099756250915725,17.72257726740675,1930,29.180528481739387,38.620432626197626,42.32345666839486,76.48057913696297,33.0,50,147.5,33.333333333333336,102,34,17.048472783199237,5.0
5.251572255400833,2.7371166128867404,8.118539111531776,17.72252862892243,1930,29.159333786284073,38.620432626197626,42.323531415145695,76.48057913696297,33.0,50,147.5,33.333333333333336,102,34,17.048472783199237,5.0
13.635739906928041,2.737116612886741,8.14285761608881,17.722402340778924,1930,29.113649621131003,38.620432626197626,42.323725488253146,76.48057913696297,33.0,50,147.5,33.333333333333336,102,34,17.048472783199237,5.0
35.40528317365753,2.7441753736650045,8.142677867240888,17.822259527423938,1930,29.03074821822087,38.62043262619763,41.94742871096394,76.48057913696299,33.0,52,147.5,33.333333333333336,102,34,17.048472783199237,5.0
91.93003717898598,2.7547279462016387,8.118218406935808,17.721223155954608,1930,28.929740219779998,38.620432626197626,41.94603793266503,76.48057913696297,33.0,51,147.5,33.333333333333336,102,34,17.048472783199237,5.0
238.69691125695093,2.756811565725968,8.099756250915718,17.60864464401837,1930,28.913310236100152,38.620432626197626,40.35974352621889,76.48057913696297,32.5,51,147.5,35.294117647058826,102,36,17.048472783199237,5.0
619.7780093646329,2.759768464886843,8.091160257723033,17.34876778883057,1930,28.725033291343934,38.620432626197626,38.95334126910813,76.48057913696297,33.0,50,147.5,35.294117647058826,102,36,17.048472783199237,5.0
1609.2574422904347,2.7629643309463567,8.012051654315707,17.195162149793177,1930,28.41163658541082,38.62043262619763,37.87759005157862,76.48057913696299,33.0,49,147.5,35.294117647058826,102,36,17.048472783199237,5.0
4178.446922022927,2.744175373665003,7.602989033261073,16.87906680895159,1930,28.15481701333607,38.620432626197626,37.44357483237395,76.48057913696297,32.5,50,147.5,37.254901960784316,102,38,17.048472783199237,5.0
10849.363328289564,2.5869036708284874,7.301777307669756,16.050782435479068,1930,27.94085191972438,38.620432626197626,36.59937282087597,76.48057913696297,34.0,50,147.5,38.23529411764706,102,39,17.048472783199237,5.0
28170.43911909917,2.4699269331412914,6.760156732139725,15.013837761281495,1930,27.66301556161283,38.620432626197626,37.054238124620795,76.48057913696297,33.0,52,147.5,42.15686274509804,102,43,17.048472783199237,6.0
73144.71975453547,2.232222684333717,6.157765727427147,13.695640813967065,1930,27.190100530792336,38.620432626197626,36.61030193942953,76.48057913696297,34.0,52,147.5,44.11764705882353,102,45,17.048472783199237,6.0
189920.7181453623,2.1212163480452197,5.483523622587024,12.738671349784271,1930,26.99627897305343,38.620432626197626,35.76135222472049,76.48057913696297,34.0,52,147.5,49.01960784313726,102,50,17.048472783199237,12.0
493130.32166773244,1.8044870752313997,4.8176008704005655,12.058977525123794,1930,27.02152016981328,38.620432626197626,35.0141006924653,76.48057913696297,34.0,49,147.5,55.88235294117647,102,57,17.048472783199237,18.0
1280415.9363066254,1.5210700607888334,4.330169964051905,11.13173800786836,1930,27.06651339162801,38.62043262619763,35.285214330439466,76.48057913696297,32.0,45,147.5,54.90196078431372,102,56,17.048472783199237,22.0
3324607.9137932863,1.3347322947639562,3.889953747893017,10.13716405793062,1930,27.10450668660557,38.620432626197626,36.42454918331238,76.48057913696297,31.5,44,147.5,56.86274509803921,102,58,17.048472783199237,23.0
8632365.051890504,1.2197757959464859,3.6214462506439027,9.73382535971682,1930,27.089392587155984,38.620432626197626,37.047313017502695,76.48057913696297,31.0,45,147.5,55.88235294117647,102,57,17.048472783199237,24.0
22413989.354936503,1.1729948692441567,3.426597053961821,9.381335624628406,1930,27.141567662770896,38.620432626197626,37.134216680163604,76.48057913696297,31.5,43,147.5,56.86274509803921,102,58,17.048472783199237,24.0
58198062.26720953,1.1160911535628184,3.3687703001593716,9.352781173277258,1930,27.17501272910524,38.620432626197626,37.5435637781505,76.48057913696299,32.0,43,147.5,56.86274509803921,102,58,17.048472783199237,24.0
151111629.34999973,1.0924811790509796,3.345811717029287,9.352597927112198,1930,27.191311575636046,38.620432626197626,37.36919641436112,76.48057913696297,32.0,42,147.5,57.84313725490196,102,59,17.048472783199237,24.0
